"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"760","x1938","X3300045920_PreDrought_Site1_48hr",0.0389011989443005,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Actinobacteria"
"764","x1938","X3300045934_PreDrought_Site3_6hr",0.0388778003596327,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Actinobacteria"
"775","x1938","X3300045966_PreDrought_Site3_0hr",0.0384191391521107,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Actinobacteria"
"909","x2038","X3300045975_PreDrought_Site1_6hr",0.0383667948823873,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Nitrospirae"
"1428","x2741","X3300045933_PreDrought_Site2_48hr",0.0379283762443242,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Planctomycetes"
"923","x2038","X3300045920_PreDrought_Site1_48hr",0.037510537215523,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Nitrospirae"
"1475","x2777","X3300045977_Drought_Site1_0hr",0.037484685555097,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Chloroflexi"
"1430","x2741","X3300045931_Drought_Site2_0hr",0.037204944807083,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Planctomycetes"
"782","x1938","X3300045930_PreDrought_Site2_6hr",0.0368777009844454,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Actinobacteria"
"922","x2038","X3300046482_Drought_Site3_6hr",0.0367978443097548,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Nitrospirae"
"1427","x2741","X3300045926_Drought_Site2_48hr",0.0364726140804027,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Planctomycetes"
"761","x1938","X3300045967_PreDrought_Site3_6hr",0.0362443298252992,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Actinobacteria"
"913","x2038","X3300045945_PreDrought_Site3_0hr",0.0356114855931524,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Nitrospirae"
"935","x2038","X3300049734_Drought_Site3_0hr",0.0354424611224608,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Nitrospirae"
"1127","x2223","X3300045978_Drought_Site1_48hr",0.0354231501123877,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Bacteria","Verrucomicrobia"
"904","x2038","X3300045910_PreDrought_Site1_0hr",0.0353182695417544,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Nitrospirae"
"770","x1938","X3300045933_PreDrought_Site2_48hr",0.0348739692755178,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Actinobacteria"
"791","x1938","X3300045926_Drought_Site2_48hr",0.0347683069518953,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Actinobacteria"
