"","Label","Time","Time_Flux"
"1223","S1P6.C2","Flux",0.0029
"1224","S2P8.C2","time",0.64431
"1225","S2P4.C2","time",0.82779
"1226","S2P4.C2","Flux",-0.00771
"1227","S2P6.C2","time",0.91491
"1228","S2P6.C2","Flux",0.01214
"1229","S3P2.C2","time",0.84953
"1230","S3P2.C2","Flux",-0.00206
"1231","S3P4.C2","time",0.81784
"1232","S3P4.C2","Flux",0.01559
"1233","S3P6.C2","time",0.94201
"1234","S3P6.C2","Flux",0.01703
"1235","S1P1.C1","time",0.83443
"1236","S1P1.C1","Flux",-0.00522
"1237","S1P3.C1","time",0.86547
"1238","S1P3.C1","Flux",0.00862
"1239","S1P5.C1","time",-1.02311
"1240","S1P5.C1","Flux",-0.0087
"1241","S2P1.C1","time",0.8276
"1242","S2P1.C1","Flux",0.0161
"1243","S2P3.C1","time",0.92653
"1244","S2P3.C1","Flux",-0.0017
"1245","S2P7.C1","time",0.65855
"1246","S3P1.C1","time",0.77847
"1247","S3P1.C1","Flux",-0.00672
"1248","S3P3.C1","time",0.90263
"1249","S3P3.C1","Flux",0.0027
"1250","S3P5.C1","time",0.88497
"1251","S3P5.C1","Flux",-0.00897
"1252","S1P2.C2","time",-1.02291
"1253","S1P2.C2","Flux",0.00106
"1254","S1P4.C2","time",0.90942
"1255","S1P4.C2","Flux",0.00377
"1256","S1P6.C2","time",0.90126
"1257","S1P6.C2","Flux",0.00506
"1258","S2P8.C2","time",0.66568
"1259","S2P4.C2","time",0.86696
"1260","S2P4.C2","Flux",0.000802
"1261","S2P6.C2","time",0.95056
"1262","S2P6.C2","Flux",0.000431
"1263","S3P2.C2","time",0.88516
"1264","S3P2.C2","Flux",0.00707
"1265","S3P4.C2","time",0.85351
"1266","S3P4.C2","Flux",0.03905
"1267","S3P6.C2","time",1.00041
"1268","S3P6.C2","Flux",0.01503
"1269","S1P1.C1","time",0.87356
"1270","S1P1.C1","Flux",-0.00388
"1271","S1P3.C1","time",0.90111
"1272","S1P3.C1","Flux",0.00126
"1273","S1P5.C1","time",-1.00883
"1274","S1P5.C1","Flux",-0.01551
"1275","S2P1.C1","time",0.86679
"1276","S2P1.C1","Flux",0.00877
"1277","S2P3.C1","time",0.96218
"1278","S2P3.C1","Flux",0.00189
"1279","S2P7.C1","time",0.67991
"1280","S3P1.C1","time",0.81766
"1281","S3P1.C1","Flux",0.02165
"1282","S3P3.C1","time",0.94181
"1283","S3P3.C1","Flux",0.01129
"1284","S3P5.C1","time",0.9242
"1285","S3P5.C1","Flux",-0.022
"1286","S1P2.C2","time",-0.99909
"1287","S1P2.C2","Flux",0.0096
