Sample,Pyruv,Condition,Type,Time,Flux
S1P2,C2,pre-drought,sample,-1.17252,11.54781
S2P1,C1,pre-drought,sample,0.94162,11.58772
S1P2,C2,pre-drought,sample,0.38157,11.5923
S1P5,C1,pre-drought,sample,0.38139,11.61202
S2P1,C1,pre-drought,sample,9.45264,11.61552
S1P6,C2,pre-drought,sample,1.82757,11.65394
S1P6,C2,pre-drought,sample,1.52854,11.65508
S1P5,C1,pre-drought,sample,1.52517,11.66778
S3P2,C2,pre-drought,sample,0.88516,11.72355
S1P2,C2,pre-drought,sample,0.08818,11.73407
S2P7,C1,pre-drought,sample,0.28113,11.73811
S3P1,C1,drought,sample,0.88627,11.75621
S1P3,C1,pre-drought,sample,-0.21856,11.76776
S3P1,C1,drought,sample,0.12774,11.76901
S1P2,C2,pre-drought,sample,-0.98481,11.77373
S3P3,C1,drought,sample,0.74206,11.77774
S1P4,C2,pre-drought,sample,1.75726,11.81052
S3P5,C1,drought,sample,1.33197,11.81516
S1P5,C1,pre-drought,sample,-0.22554,11.86121
S2P1,C1,pre-drought,sample,15.30869,11.90592
S1P2,C2,pre-drought,sample,0.36731,11.92198
S2P2,C2,drought,sample,0.16569,12.00088
S2P6,C2,pre-drought,sample,0.10339,12.02978
S3P6,C2,pre-drought,sample,2.4438,12.03543
S3P2,C2,pre-drought,sample,-0.01366,12.06724
S3P3,C1,drought,sample,1.87462,12.12273
S1P6,C2,pre-drought,sample,1.7884,12.12804
S2P8,C2,pre-drought,sample,1.99862,12.13641
S1P3,C1,pre-drought,sample,0.97589,12.14585
S1P2,C2,drought,sample,0.14891,12.15188
S3P3,C1,pre-drought,sample,1.0287,12.18504
S3P3,C1,drought,sample,0.19877,12.21727
S2P6,C2,pre-drought,sample,0.21383,12.21953
S1P5,C1,pre-drought,sample,0.21995,12.25764
S3P2,C2,pre-drought,sample,0.36145,12.26947
S2P4,C2,pre-drought,sample,1.92365,12.36799
S3P6,C2,pre-drought,sample,0.49346,12.43629
S3P5,C1,pre-drought,sample,1.09597,12.49453
S1P1,C1,pre-drought,sample,0.23578,12.50141
S2P7,C1,pre-drought,sample,0.81517,12.51363
S2P1,C1,pre-drought,sample,0.52838,12.54047
S2P8,C2,pre-drought,sample,0.37727,12.56199
S3P5,C1,drought,sample,0.22095,12.5942
S2P5,C1,drought,sample,0.78206,12.60685
S1P3,C1,drought,sample,0.74351,12.65278
S2P3,C1,pre-drought,sample,0.44126,12.68248
S2P8,C2,pre-drought,sample,1.75291,12.7118
S2P8,C2,pre-drought,sample,1.95233,12.7201
S2P4,C2,pre-drought,sample,0.26007,12.73156
S2P4,C2,pre-drought,sample,0.34347,12.7652
S2P8,C2,pre-drought,sample,0.95399,12.7673
S1P5,C1,pre-drought,sample,-1.58571,12.77606
S1P1,C1,drought,sample,0.36685,12.78214
S1P3,C1,drought,sample,1.79199,12.78541
S1P2,C2,pre-drought,sample,0.40652,12.83713
S1P5,C1,pre-drought,sample,0.40633,12.8698
S1P2,C2,pre-drought,sample,0.49541,12.87117
S1.2W,C2,drought,water,1.91595,12.91537
S1P2,C2,pre-drought,sample,0.48117,12.92182
S2P3,C1,pre-drought,sample,1.185,12.96572
S1P4,C2,drought,sample,0.02187,13.01135
S2P4,C2,drought,sample,-0.65623,13.01319
S1P3,C1,pre-drought,sample,0.3026,13.01617
