Sample,Pyruv,Condition,Type,Time,Flux
S1P4_C2,C2,drought,sample,5.21E-04,-12.20061
S1P3_C1,C1,pre-drought,sample,0.01385,-12.20324
S3P6_C2,C2,pre-drought,sample,0.90284,-12.32574
S3P1_C1,C1,pre-drought,sample,1.7672,-12.38371
S2P1_C1,C1,drought,sample,0.31774,-12.39082
S1P5_C1,C1,drought,sample,0.02795,-12.40104
S2P3_C1,C1,pre-drought,sample,0.75292,-12.41417
S1P5_C1,C1,pre-drought,sample,-0.46416,-12.45275
S1P4_C2,C2,pre-drought,sample,1.71804,-12.4821
S1P4W,C2,drought,water,0.45985,-12.49232
S1P5_C1,C1,pre-drought,sample,-1.18696,-12.50019
S1P4_C2,C2,pre-drought,sample,1.79291,-12.50755
S3P4_C2,C2,pre-drought,sample,0.26014,-12.52446
S2P8_C2,C2,pre-drought,sample,0.39861,-12.61266
S3P1_C1,C1,pre-drought,sample,0.92818,-12.61981
S1P2W,C2,drought,water,0.1752,-12.62896
S1P5_C1,C1,pre-drought,sample,-1.14065,-12.64807
S3P3_C1,C1,pre-drought,sample,1.74096,-12.74221
S2P6_C2,C2,pre-drought,sample,1.34462,-12.755
S2P1_C1,C1,drought,sample,0.14927,-12.77643
S1P4W,C2,drought,water,1.73862,-12.83736
S1P5_C1,C1,pre-drought,sample,0.42058,-12.88104
S3P5_C1,C1,pre-drought,sample,0.36125,-12.92504
S3P3_C1,C1,pre-drought,sample,2.00792,-13.00604
S2P6_C2,C2,pre-drought,sample,1.71858,-13.08062
S1P4W,C2,drought,water,1.18524,-13.10418
S1P5_C1,C1,drought,sample,0.42638,-13.1162
S1P2_C2,C2,drought,sample,-0.583,-13.14269
S1P5_C1,C1,pre-drought,sample,-0.1366,-13.14791
S1P5_C1,C1,pre-drought,sample,-1.08365,-13.22376
S1P6_C2,C2,pre-drought,sample,1.15297,-13.23546
S1P2_C2,C2,pre-drought,sample,0.42076,-13.28176
S1P2_C2,C2,pre-drought,sample,0.42076,-13.28176
S1P5_C1,C1,drought,sample,0.14875,-13.29539
S1P4_C2,C2,pre-drought,sample,1.75726,-13.32885
S2P4_C2,C2,drought,sample,1.4953,-13.33941
S1P5_C1,C1,pre-drought,sample,0.75464,-13.4302
S3P3_C1,C1,drought,sample,1.76069,-13.45396
S2P6_C2,C2,drought,sample,0.33637,-13.51969
S1P4W,C2,drought,water,1.12613,-13.56543
S1P2W,C2,drought,water,-0.54053,-13.65517
S1P1_C1,C1,drought,sample,1.40149,-13.75898
S2P6_C2,C2,drought,sample,0.05705,-13.79015
S1P5_C1,C1,pre-drought,sample,0.51648,-13.80713
S2P7_C1,C1,pre-drought,sample,0.37016,-13.81231
S2P6_C2,C2,drought,sample,-0.13843,-13.89125
S3P3_C1,C1,drought,sample,1.71804,-13.89862
S2P8_C2,C2,pre-drought,sample,0.71196,-13.91643
S2P1_C1,C1,drought,sample,0.47435,-13.91865
S1P5_C1,C1,pre-drought,sample,1.8244,-13.92248
S3P6_C2,C2,pre-drought,sample,-0.24769,-13.94598
S2P3_C1,C1,pre-drought,sample,0.09008,-13.95622
S3P4_C2,C2,pre-drought,sample,0.03561,-13.98422
S2P3_C1,C1,pre-drought,sample,-0.00565,-14.01119
S3P4_C2,C2,drought,sample,1.70674,-14.08636
S1P3_C1,C1,pre-drought,sample,1.37884,-14.13529
S1P2_C2,C2,drought,sample,-0.66125,-14.15127
S3P6_C2,C2,pre-drought,sample,2.30863,-14.18193
S2P1_C1,C1,pre-drought,sample,0.52838,-14.19476
S1P3_C1,C1,pre-drought,sample,0.94025,-14.33325
S1P1_C1,C1,pre-drought,sample,0.46028,-14.36864
S2P1_C1,C1,drought,sample,0.05667,-14.39739
S3P1_C1,C1,drought,sample,-0.52626,-14.4495
S2P3_C1,C1,pre-drought,sample,1.2278,-14.45595
S3P1_C1,C1,pre-drought,sample,0.01405,-14.47507
S1P3_C1,C1,pre-drought,sample,4.0574,-14.48531
S1P5_C1,C1,pre-drought,sample,0.0559,-14.50508
S1P3_C1,C1,pre-drought,sample,0.97589,-14.52547
S1P5_C1,C1,pre-drought,sample,-0.69888,-14.52891
S1P5_C1,C1,pre-drought,sample,0.10222,-14.53388
S2P1_C1,C1,drought,sample,-0.6066,-14.61323
S1P5_C1,C1,pre-drought,sample,-0.95649,-14.65801
S3P5_C1,C1,pre-drought,sample,1.76704,-14.68103
S1P2W,C2,drought,water,-0.61883,-14.71569
S3P4_C2,C2,pre-drought,sample,1.50694,-14.72022
S2P4_C2,C2,pre-drought,sample,1.30921,-14.80263
S1P2_C2,C2,drought,sample,1.53593,-14.90252
S2P7_C1,C1,pre-drought,sample,0.3915,-14.9327
S3P1_C1,C1,drought,sample,1.09953,-14.94056
S3P3_C1,C1,pre-drought,sample,0.34375,-14.95174
S3P2_C2,C2,drought,sample,1.33216,-14.96882
S1P2_C2,C2,drought,sample,1.72814,-15.03529
S3P1_C1,C1,pre-drought,sample,-0.1727,-15.03589
S3P3_C1,C1,pre-drought,sample,2.16249,-15.06212
S1P3_C1,C1,pre-drought,sample,0.79073,-15.10773
S2P1_C1,C1,pre-drought,sample,0.17081,-15.18845
S3P6_C2,C2,pre-drought,sample,2.35485,-15.19274
S1P2_C2,C2,pre-drought,sample,0.23441,-15.21384
S1P2_C2,C2,pre-drought,sample,0.23441,-15.21384
S3P2_C2,C2,drought,sample,0.01473,-15.25121
S2P4_C2,C2,pre-drought,sample,1.02203,-15.26048
S1P5_C1,C1,drought,sample,0.21267,-15.28727
S2P3_C1,C1,pre-drought,sample,1.50587,-15.32653
S1P5_C1,C1,pre-drought,sample,0.13076,-15.32973
S1P6_C2,C2,pre-drought,sample,1.90225,-15.36101
S1P6_C2,C2,pre-drought,sample,0.12461,-15.36859
S1P5_C1,C1,pre-drought,sample,1.89924,-15.44305
S1P5_C1,C1,drought,sample,0.46897,-15.47624
S2P1_C1,C1,drought,sample,1.19959,-15.48724
S2P7_C1,C1,pre-drought,sample,1.83478,-15.51556
S3P2_C2,C2,pre-drought,sample,0.7355,-15.52532
S3P5_C1,C1,drought,sample,0.28663,-15.53415
S3P2_C2,C2,pre-drought,sample,0.03495,-15.53948
S2P8_C2,C2,pre-drought,sample,0.46632,-15.5461
S1P3_C1,C1,pre-drought,sample,0.32397,-15.59252
S3P4_C2,C2,pre-drought,sample,0.30292,-15.60794
S1P4_C2,C2,drought,sample,1.20617,-15.61351
S1P2W,C2,drought,water,1.24434,-15.63574
S1P2_C2,C2,pre-drought,sample,-9.72E-04,-15.63635
S1P2_C2,C2,pre-drought,sample,-9.72E-04,-15.63635
S1P2_C2,C2,pre-drought,sample,1.89942,-15.69509
S1P2_C2,C2,pre-drought,sample,1.89942,-15.69509
S2P3_C1,C1,drought,sample,-0.61992,-15.69631
S1P5_C1,C1,pre-drought,sample,-0.8201,-15.73569
S1P3_C1,C1,pre-drought,sample,1.93772,-15.75112
S2P4_C2,C2,pre-drought,sample,0.171,-15.80369
S1P2W,C2,drought,water,0.14679,-15.84301
S1P1_C1,C1,drought,sample,1.97689,-15.84976
S1P1_C1,C1,pre-drought,sample,-0.62821,-15.85131
S1P5_C1,C1,drought,sample,-0.52617,-15.87095
S1P5_C1,C1,pre-drought,sample,-0.19707,-15.8813
S2P7_C1,C1,pre-drought,sample,0.83655,-15.92466
S3P1_C1,C1,pre-drought,sample,0.44337,-15.9667
S1P1_C1,C1,pre-drought,sample,-0.17954,-16.00716
S2P8_C2,C2,pre-drought,sample,1.06796,-16.03877
S2P6_C2,C2,pre-drought,sample,0.48088,-16.09721
S3P4_C2,C2,pre-drought,sample,-0.29367,-16.18814
S2P6_C2,C2,pre-drought,sample,0.42963,-16.26605
S1P2_C2,C2,drought,sample,-0.647,-16.28109
S1P5_C1,C1,pre-drought,sample,0.36713,-16.29499
S1P6_C2,C2,pre-drought,sample,0.30277,-16.31171
S1P3_C1,C1,pre-drought,sample,0.25983,-16.34277
S2P4_C2,C2,pre-drought,sample,1.84884,-16.36224
S1P2_C2,C2,pre-drought,sample,-1.57124,-16.38299
S1P2_C2,C2,pre-drought,sample,-1.57124,-16.38299
S3P3_C1,C1,pre-drought,sample,-0.50073,-16.38738
S3P2_C2,C2,pre-drought,sample,1.43242,-16.40809
S1P2_C2,C2,pre-drought,sample,-0.55289,-16.49321
S1P2_C2,C2,pre-drought,sample,-0.55289,-16.49321
S2P1_C1,C1,pre-drought,sample,16.21288,-16.5055
S1P6_C2,C2,pre-drought,sample,1.93792,-16.51399
S2P3_C1,C1,pre-drought,sample,0.4925,-16.53813
S3P3_C1,C1,drought,sample,-0.54131,-16.54766
S1P6_C2,C2,pre-drought,sample,0.10321,-16.66623
S1P5_C1,C1,pre-drought,sample,1.93848,-16.67447
S1P5_C1,C1,pre-drought,sample,-0.47837,-16.7772
S1P2_C2,C2,pre-drought,sample,1.52536,-16.82449
S1P2_C2,C2,pre-drought,sample,1.52536,-16.82449
S1P6_C2,C2,pre-drought,sample,-0.53718,-16.8431
S1P6_C2,C2,pre-drought,sample,1.02112,-16.90067
S2P1_C1,C1,drought,sample,0.19904,-16.90704
S2P6_C2,C2,pre-drought,sample,-0.06207,-16.92524
S3P4_C2,C2,drought,sample,-0.49757,-17.01328
S1P1_C1,C1,pre-drought,sample,0.26072,-17.03507
S1P2_C2,C2,pre-drought,sample,-0.64166,-17.07786
S1P2_C2,C2,pre-drought,sample,-0.64166,-17.07786
S2P4_C2,C2,drought,sample,-0.10818,-17.09675
S3P5_C1,C1,pre-drought,sample,1.95587,-17.14953
S1P6_C2,C2,drought,sample,-0.09373,-17.23351
S1P5_C1,C1,drought,sample,0.18421,-17.251
S1P2_C2,C2,drought,sample,-0.67541,-17.26424
S1P2_C2,C2,pre-drought,sample,-1.0977,-17.31316
S1P2_C2,C2,pre-drought,sample,-1.0977,-17.31316
S2P8_C2,C2,pre-drought,sample,0.24196,-17.32448
S3P6_C2,C2,pre-drought,sample,1.17856,-17.33894
