Sample,Pyruv,Condition,Type,Time,Flux
S1.4W,C2,drought,water,1.31054,34.70292
S2P6,C2,drought,sample,1.11366,34.80059
S1P2,C2,pre-drought,sample,-0.98481,34.90203
S3P5,C1,pre-drought,sample,0.28087,35.06233
S1.4W,C2,drought,water,1.73862,35.23706
S1P1,C1,drought,sample,1.78341,35.28596
S3P3,C1,drought,sample,1.03751,35.30379
S1.4W,C2,drought,water,0.24638,35.34425
S3P3,C1,pre-drought,sample,2.51843,35.91216
S1P1,C1,drought,sample,1.51855,36.01876
S3P3,C1,drought,sample,0.22015,36.23984
S1P3,C1,pre-drought,sample,0.90111,36.52181
S3P6,C2,pre-drought,sample,1.89063,36.72157
S1P1,C1,drought,sample,1.3658,36.72166
S1P4,C2,drought,sample,0.79429,36.77354
S2P1,C1,drought,sample,0.01392,36.81942
