"","Label","Time","Time_Flux"
"58","S1P2.C2","time",-0.66125
"59","S1P2.C2","Flux",-0.0037
"60","S1P4.C2","time",-1.67046
"61","S1P4.C2","Flux",0.00461
"62","S1P6.C2","time",-0.56388
"63","S1P6.C2","Flux",-0.000955
"64","S2P2.C2","time",-0.59204
"65","S2P2.C2","Flux",0.0046
"66","S2P4.C2","time",-0.57789
"67","S2P4.C2","Flux",0.00391
"68","S2P6.C2","time",-0.59674
"69","S3P2.C2","time",-0.48812
"70","S3P2.C2","Flux",0.05806
"71","S3P4.C2","time",-0.57593
"72","S3P4.C2","Flux",-0.00128
"73","S3P6.C2","time",-0.59091
"74","S3P6.C2","Flux",-0.00496
"75","S1P2.W","time",-0.61883
"76","S1P2.W","Flux",-0.0028
"77","S1P4.W","time",-0.58319
"78","S1P4.W","Flux",-0.00192
"79","S1P1.C1","time",-0.53278
"80","S1P1.C1","Flux",0.00605
"81","S1P3.C1","time",-0.51421
"82","S1P3.C1","Flux",0.00407
"83","S1P5.C1","time",-0.64718
"84","S1P5.C1","Flux",-0.000738
"85","S2P1.C1","time",-0.52832
"86","S2P1.C1","Flux",-0.00376
"87","S2P3.C1","time",-0.54355
"88","S2P3.C1","Flux",0.00288
"89","S2P5.C1","time",-0.54251
"90","S2P5.C1","Flux",0.00342
"91","S3P1.C1","time",-0.52626
"92","S3P1.C1","Flux",0.00483
"93","S3P3.C1","time",-0.54131
"94","S3P3.C1","Flux",-0.00415
"95","S3P5.C1","time",-0.43859
"96","S1P2.C2","time",-0.647
"97","S1P2.C2","Flux",0.00162
"98","S1P4.C2","time",-1.62777
"99","S1P4.C2","Flux",0.00714
"100","S1P6.C2","time",-0.4855
"101","S1P6.C2","Flux",-0.0039
"102","S2P2.C2","time",-0.51387
"103","S2P2.C2","Flux",-0.02154
"104","S2P4.C2","time",-0.49961
"105","S2P4.C2","Flux",0.01833
"106","S2P6.C2","time",-0.52038
"107","S3P2.C2","time",-0.40994
"108","S3P4.C2","time",-0.49757
