"","Label","Time","Time_Flux"
"2234","S1P5.C1","Flux",0.01865
"2235","S2P1.C1","time",1.77385
"2236","S2P1.C1","Flux",0.00297
"2237","S2P3.C1","time",1.87972
"2238","S2P3.C1","Flux",0.00551
"2239","S2P7.C1","time",1.19045
"2240","S2P7.C1","Flux",-0.0081
"2241","S3P1.C1","time",1.80303
"2242","S3P1.C1","Flux",0.00442
"2243","S3P3.C1","time",1.96519
"2244","S3P3.C1","Flux",0.00638
"2245","S3P5.C1","time",1.84185
"2246","S3P5.C1","Flux",-0.00711
"2247","S1P2.C2","time",-0.62392
"2248","S1P2.C2","Flux",0.00268
"2249","S1P4.C2","time",1.90696
"2250","S1P4.C2","Flux",0.00605
"2251","S2P8.C2","time",1.19758
"2252","S2P8.C2","Flux",-0.01699
"2253","S2P4.C2","time",1.88801
"2254","S2P4.C2","Flux",0.01249
"2255","S2P6.C2","time",1.94289
"2256","S2P6.C2","Flux",-0.00502
"2257","S3P2.C2","time",1.88122
"2258","S3P2.C2","Flux",0.00917
"2259","S3P4.C2","time",1.94097
"2260","S3P4.C2","Flux",0.00814
"2261","S3P6.C2","time",2.06867
"2262","S3P6.C2","Flux",0.00423
"2263","S1P1.C1","time",1.86758
"2264","S1P1.C1","Flux",-0.0081
"2265","S1P3.C1","time",1.90208
"2266","S1P3.C1","Flux",-0.00242
"2267","S1P5.C1","time",-0.64183
"2268","S1P5.C1","Flux",0.01008
"2269","S2P1.C1","time",1.81303
"2270","S2P1.C1","Flux",0.01447
"2271","S2P3.C1","time",1.91535
"2272","S2P3.C1","Flux",0.00573
"2273","S2P7.C1","time",1.21184
"2274","S2P7.C1","Flux",0.000502
"2275","S3P1.C1","time",1.85595
"2276","S3P1.C1","Flux",-0.000315
"2277","S3P3.C1","time",2.00792
"2278","S3P3.C1","Flux",-0.00461
