"","Condition","Site","Set","Time","fCO2_13_C1","fCO2_13_C2","fCO2_13_py_C1","fCO2_13_py_C2","C1_C2_diff_fCO2_13_py","C1_C2_ratio_sum_fCO2_13_py"
"157","pre_drought","Site3","Set2","18",1058.60507428515,388.563371665767,918.602498638596,294.251857252023,624.350641386573,0.757388959504582
"158","pre_drought","Site3","Set2","24",837.535851645669,299.418055591498,680.92368559429,197.227561475652,483.696124118639,0.775405931343006
"159","pre_drought","Site3","Set2","30",510.210538137554,232.155567223077,330.345241215308,124.644113237954,205.701127977354,0.726050484438844
"160","pre_drought","Site3","Set2","36",304.76238601219,191.398429550939,143.234240342629,99.1476598375446,44.0865805050848,0.590944456810334
"161","pre_drought","Site3","Set2","42",193.73853672223,151.970483090372,60.7901730771629,72.2608097961162,-11.4706367189533,0.456893829450782
"162","pre_drought","Site3","Set2","48",174.805128142147,140.663872518134,26.835564984393,52.8925970391674,-26.0570320547744,0.336588280769132
"163","pre_drought","Site3","Set3","3",557.993823508013,187.794385452025,446.286524365798,107.125130478011,339.161393887787,0.806427765768241
"164","pre_drought","Site3","Set3","6",904.322608076714,319.18440922536,781.411238025402,219.817847131202,561.593390894199,0.7804519960616
"165","pre_drought","Site3","Set3","12",969.62407714,387.461792810809,860.650745753903,306.576258035292,554.074487718611,0.737346499832469
"166","pre_drought","Site3","Set3","18",844.122997779134,447.60174617847,773.390585948123,381.321632515238,392.068953432885,0.669769119597016
"167","pre_drought","Site3","Set3","24",523.976851204135,354.576558109129,431.716249852004,274.003517209653,157.712732642351,0.611738922447224
"168","pre_drought","Site3","Set3","30",308.746124249646,269.63999592055,200.398116456207,178.169349583904,22.2287668723024,0.529359056002381
"169","pre_drought","Site3","Set3","36",207.444342528677,179.842774497109,104.49972737142,111.199477876068,-6.69975050464757,0.48446969126066
"170","pre_drought","Site3","Set3","42",130.357587554004,117.933011211696,59.5643666512213,69.0613577885338,-9.49699113731253,0.463082846846236
"171","pre_drought","Site3","Set3","48",103.705817846462,115.066640321016,28.5985885190837,50.4662795478994,-21.8676910288157,0.361710443820069
